,V_in,Measured_RPM,Vibration_1,Vibration_2,Vibration_3
6881279,8.1,1932.7719,-0.005744695699999999,-0.019208193000000002,0.0039768219
6881280,8.1,1932.7719,0.0022268295000000002,-0.0031948090000000003,0.0009942054699999998
6881281,8.1,1932.7719,0.012407303,0.0080120564,-0.0012922286999999999
6881282,8.1,1932.7719,-0.0084042549,0.0045979023,0.004826784099999999
6881283,8.1,1932.7719,0.01419425,0.015813112,5.8412552e-05
6881284,8.1,1932.7719,-0.007040500600000001,-0.005875825899999999,0.0097036362
6881285,8.1,1932.7719,-0.0022888184,-0.020326376,0.0095140934
6881286,8.1,1932.7719,0.015845299,0.0098919868,0.0024497509
6881287,8.1,1932.7719,-0.013411045,-0.0009202957199999998,0.0051736832
6881288,8.1,1932.7719,0.003118515,-0.0016665459,-0.00040888786
6881289,8.1,1932.7719,0.0087583065,0.00075936317,0.0041174889
6881290,8.1,1932.7719,-0.0093448162,-0.0013172626,0.0071871281000000006
6881291,8.1,1932.7719,0.0020527839999999998,0.009781122199999999,0.0053048133999999995
6881292,8.1,1932.7719,0.025938749,-0.013943911000000002,0.0006353855099999999
6881293,8.1,1932.7719,-0.017060041,-0.023752451,0.0090229511
6881294,8.1,1932.7719,-0.010180473,0.051783323,0.0038683414
6881295,8.1,1932.7719,0.022302866,0.0098800659,-0.0034415721999999996
6881296,8.1,1932.7719,-0.0034713745000000003,-0.05007267,0.0045692921000000004
6881297,8.1,1932.7719,0.0074338913,0.013980865,0.0015699863
6881298,8.1,1932.7719,-0.008343458199999999,0.014654398,0.0066101551
6881299,8.1,1932.7719,-0.0057721138,-0.013594627,0.006755590400000001
6881300,8.1,1932.7719,0.019946098,0.0094652176,0.0022661686
6881301,8.1,1932.7719,-0.014919043,0.003837347,0.0067663193
6881302,8.1,1932.7719,0.0039923191,-0.014612675,0.006840229000000001
6881303,8.1,1932.7719,0.017937421999999998,-0.00075936317,0.0033414364000000003
6881304,8.1,1932.7719,0.0029945374,0.014401674,0.0024044514000000003
6881305,8.1,1932.7719,-0.0016319752,0.016795397,0.0034439564000000003
6881306,8.1,1932.7719,0.0030994415000000003,-0.021495819,0.0061571598
6881307,8.1,1932.7719,0.0024783610999999997,-0.0043332577,0.0073945522
6881308,8.1,1932.7719,-0.0015521049,0.0082314014,0.0026834011
6881309,8.1,1932.7719,-0.0061607361,-0.011637211000000001,0.0029206276
6881310,8.1,1932.7719,0.0011730194,0.0017380714000000002,0.0026130676
6881311,8.1,1932.7719,-0.0007808208500000001,0.0119102,0.0059103966
6881312,8.1,1932.7719,0.003631115,-0.014878511,0.0061869620999999994
6881313,8.1,1932.7719,0.0039625167999999995,-0.006455183000000001,0.0018811226
6881314,8.1,1932.7719,0.021322966000000002,0.026843548,0.0015544891
6881315,8.1,1932.7719,-0.010713338999999999,-0.015382767,0.007674694100000001
6881316,8.1,1932.7719,0.0036776065999999997,-0.027858018999999998,0.0056123734
6881317,8.1,1932.7719,0.0062918663,0.051314831,-0.00017046928
6881318,8.1,1932.7719,-0.024459362000000002,-0.0080192089,0.0061416626
6881319,8.1,1932.7719,0.022739172000000002,-0.045269727999999995,0.003221035
